orfid	yORF	gene name	GFP tagged?	GFP visualized?	TAP visualized?	abundance	error	localization summary	ambiguous	mitochondrion	vacuole	spindle pole	cell periphery	punctate composite	vacuolar membrane	ER	nuclear periphery	endosome	bud neck	microtubule	Golgi	late Golgi	peroxisome	actin	nucleolus	cytoplasm	ER to Golgi	early Golgi	lipid particle	nucleus	bud	
259	YBL101C	ECM21	tagged	visualized	TAP visualized	799	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
6097	YBL102W	SFT2	tagged	visualized	TAP visualized	279	NA	early Golgi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F		
1770	YBL103C	RTG3	tagged	visualized	TAP visualized	1050	NA	cytoplasm,nucleus	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	T	F		
450	YBL104C		tagged	visualized	TAP visualized	184	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
228	YBL105C	PKC1	tagged	visualized	not TAP visualized	not visualized	NA	ambiguous,bud neck,cytoplasm,bud	T	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F	F	T	F	F	F	F	T		
3907	YBL107C		tagged	visualized	TAP visualized	768	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
895	YBL111C		tagged	visualized	TAP visualized	279	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
705	YBR001C	NTH2	tagged	visualized	TAP visualized	2500	NA	cytoplasm,mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
5999	YBR002C	RER2	tagged	visualized	TAP visualized	8970	NA	ER	F	F	F	F	F	F	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
5737	YBR003W	COQ1	tagged	visualized	TAP visualized	1560	NA	mitochondrion	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
3747	YBR005W		tagged	visualized	not TAP visualized	not visualized	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
1709	YBR006W	UGA2	tagged	visualized	TAP visualized	low signal	NA	cytoplasm	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	T	F	F	F	F	F		
803	YBR007C		tagged	visualized	TAP visualized	377	NA	ambiguous	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F		
